"LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","PAY_MEAN","BILL_MEAN","PAY_AMT_MEAN","PAY_DIFF","default.payment.next.month"
20000,1,5,2,22,0.4,16468.8,740,16468.4,0
80000,1,1,2,31,-1,390,312,391,0
320000,1,2,2,29,2,59725.2,2440,59723.2,1
200000,2,2,1,32,-0.4,4654.8,3623.4,4655.2,0
290000,2,1,2,37,-0.8,1102.8,1102.8,1103.6,0
20000,1,2,2,24,0.4,16557,1118,16556.6,0
50000,1,3,2,25,-0.2,27075.2,1071.6,27075.4,0
300000,2,1,1,45,-1,291,291,292,0
30000,2,2,2,22,0,28555,1682.2,28555,1
240000,2,2,2,44,-1.4,0,0,1.4,1
470000,2,3,3,33,0,116986.8,3785.2,116986.8,0
60000,1,3,2,30,0,24759,1069,24759,1
400000,2,2,1,44,0.4,121378.8,3990.6,121378.4,0
50000,2,3,2,49,0,31603.4,1045.2,31603.4,0
360000,2,1,1,45,-0.2,624,390,624.2,1
160000,2,2,2,32,0,6171.4,1182.6,6171.4,0
20000,1,3,2,44,0.8,9867.8,930.2,9867,0
280000,2,1,2,39,-0.6,3072,793.6,3072.6,0
100000,2,1,2,27,-2,711,1511,713,0
160000,2,2,1,37,-1,832.4,656.4,833.4,0
60000,2,2,2,23,0,35703.2,1085.2,35703.2,0
90000,1,2,2,35,0,64776.2,2122.6,64776.2,0
150000,1,1,2,27,0,87724.6,4608.2,87724.6,0
50000,2,3,1,22,0,15179,717.2,15179,0
20000,1,2,1,38,0,18613.4,1137,18613.4,1
140000,1,1,2,32,-2,2449.8,2601.4,2451.8,0
380000,2,1,2,30,-1,19709.2,7403.8,19710.2,0
50000,2,3,2,22,0,36254.4,1193.2,36254.4,1
60000,2,2,2,26,2,57346.6,2103.4,57344.6,0
70000,2,2,2,24,-1.6,1116,5305.8,1117.6,0
80000,2,2,1,36,-1,3343,2351.8,3344,0
350000,1,1,2,52,-1,1144.8,2054.8,1145.8,0
360000,1,2,1,35,-1.4,-103,0,-101.6,0
330000,2,1,1,31,0.4,106458.2,6549.4,106457.8,0
50000,1,3,1,47,0.4,15149.2,1200,15148.8,0
100000,2,1,2,24,0,55094.6,3166.6,55094.6,0
50000,1,2,2,41,0,19830.6,957.4,19830.6,0
30000,1,1,2,24,0.8,19291.8,1062.4,19291,1
240000,1,1,2,28,-1,1426,1426,1427,0
80000,1,2,2,26,0.4,16167.2,1340,16166.8,1
240000,2,2,2,38,-0.2,41700,2102,41700.2,0
50000,1,3,2,37,2.2,47820.4,2047,47818.2,1
450000,1,1,1,40,-1.4,0,0,1.4,1
110000,2,1,1,48,-1.4,0,0,1.4,0
20000,1,1,2,27,0,19294,861.6,19294,0
20000,1,2,2,23,-1.4,0,0,1.4,0
200000,1,3,2,52,0,102538.4,3654.4,102538.4,0
180000,1,1,1,36,0,114591,2754.2,114591,1
50000,1,2,1,51,0,4694.2,1213.2,4694.2,1
60000,1,3,1,55,1.4,47515.6,1202.2,47514.2,0
30000,2,1,2,23,-1.2,5374,5772.4,5375.2,0
240000,1,1,2,41,-0.2,1908.4,1604,1908.6,0
30000,2,2,2,22,0,24852.4,780,24852.4,0
240000,1,2,1,34,0.8,12763.4,860,12762.6,0
150000,1,1,2,27,0,22120,3000,22120,0
210000,2,2,1,33,0,7509.6,1300,7509.6,0
50000,2,3,1,51,-1.2,1386.4,1236,1387.6,1
50000,1,1,2,24,0,37867,1366,37867,0
240000,1,1,2,47,-1.4,0,0,1.4,1
180000,1,2,2,28,-1,682.4,949.6,683.4,0
50000,1,2,2,23,1.4,16284.4,2580,16283,0
20000,1,1,2,29,-0.8,5234.2,4662.2,5235,0
50000,1,1,2,28,0,7609.2,1436.6,7609.2,0
170000,2,2,2,27,0,19182.4,750.4,19182.4,1
80000,2,2,1,23,1.6,9983.2,824,9981.6,0
260000,2,1,1,60,-0.8,4033.8,4893.8,4034.6,0
140000,1,2,1,32,0.4,71214.4,2733,71214,0
350000,1,1,2,41,-0.6,948.8,907.2,949.4,0
30000,2,3,2,26,0,11173.2,1440,11173.2,0
140000,1,1,1,34,0,34856.2,5977,34856.2,0
200000,2,1,2,37,0,96275.2,3512,96275.2,0
50000,1,3,1,57,1,13160.2,640,13159.2,0
30000,1,1,2,41,2,26855,1380,26853,0
50000,1,2,2,27,-0.4,571.2,450,571.6,0
290000,1,3,1,47,-0.8,642.8,401.4,643.6,0
60000,2,2,1,46,0,24509.6,1700,24509.6,0
110000,2,1,2,27,0,92417,3660,92417,0
100000,1,2,1,27,0.6,62067,1181.2,62066.4,0
90000,2,2,1,35,0,76932.2,4930.4,76932.2,0
50000,2,2,2,22,0,28510.6,1245.6,28510.6,0
270000,1,2,2,37,0,31113.6,3400,31113.6,0
300000,2,1,2,30,-1,2196,2220,2197,0
50000,2,2,2,22,-0.2,9212.4,4229.8,9212.6,0
50000,2,1,2,24,-1.4,-1659.4,0,-1658,1
360000,1,1,2,29,-1,15.4,15.4,16.4,0
130000,1,3,1,56,1.8,67846,2900,67844.2,1
80000,1,1,2,30,-0.6,2048.8,1200.8,2049.4,0
50000,1,2,2,30,0.6,39624.4,900,39623.8,0
20000,2,2,2,22,0,13801.6,1182.6,13801.6,0
80000,2,2,1,29,0.4,62414.6,1760,62414.2,0
240000,1,1,2,37,0,23401,3651.2,23401,0
80000,2,3,2,35,-0.2,22405.4,5400,22405.6,0
60000,2,2,1,24,0,40609.6,1767.4,40609.6,1
20000,1,2,2,25,0,9856.8,1070.6,9856.8,0
100000,2,2,1,38,1,15180.6,820,15179.6,1
130000,2,2,1,34,0,8621.2,3079.4,8621.2,0
20000,2,2,2,31,3.4,21061,352,21057.6,0
310000,1,1,2,32,0,62082.4,7239.2,62082.4,0
60000,2,1,2,27,0.8,21429,1181.2,21428.2,1
180000,2,1,2,29,-1.2,5762.4,3553.4,5763.6,0
180000,2,1,2,24,0,13647.8,7613.4,13647.8,0
50000,1,2,1,36,-0.2,16842.4,1300,16842.6,0
50000,2,1,2,24,1.8,37744.8,1626.4,37743,1
150000,2,2,1,34,-2,23.2,323.2,25.2,0
20000,2,1,2,22,-0.2,16852.8,4753.2,16853,0
500000,2,1,1,34,-1.6,1061.2,1209,1062.8,0
30000,2,3,2,22,1,23570.8,580.6,23569.8,1
180000,2,1,1,38,-2,150,0,152,0
140000,1,1,2,31,0.4,24007.8,7160,24007.4,0
140000,2,1,2,26,-0.8,12749.8,8567,12750.6,0
120000,1,2,2,26,0,113351.8,4830.4,113351.8,0
20000,1,3,1,43,-0.4,15920.8,5967.6,15921.2,0
100000,1,1,1,47,-1,606.6,528.6,607.6,0
210000,2,2,1,41,-1,1931.4,1313.8,1932.4,1
80000,2,2,2,24,0,68367.8,2407.6,68367.8,1
330000,2,1,1,50,-1.2,3550.6,2122,3551.8,0
210000,2,1,1,38,-0.6,232.4,452.2,233,1
40000,2,3,1,43,0,36921.2,1480.8,36921.2,0
30000,1,2,2,39,0.4,19114.2,1669,19113.8,0
30000,1,3,1,42,-1,546,498,547,0
240000,2,2,1,36,-1.4,-946,0,-944.6,1
80000,1,2,2,36,0.4,78512.8,3300,78512.4,0
110000,2,3,0,31,0,78127.8,3600,78127.8,0
310000,2,1,2,38,-1.2,1218.4,933.6,1219.6,0
360000,2,1,1,40,1.2,113065.4,5480,113064.2,1
320000,2,2,2,33,0,80801,7622.4,80801,0
50000,2,3,2,37,1.2,42802.2,745,42801,1
170000,2,1,2,28,0,128652.6,8717.4,128652.6,0
350000,1,3,1,44,-1,1676.8,1023.8,1677.8,0
20000,1,2,1,37,0,17857.2,1356.4,17857.2,0
50000,1,2,2,23,0.4,36728.6,1614,36728.2,1
20000,2,3,2,24,0.6,12782.4,386.6,12781.8,0
50000,2,1,2,24,0,26324.4,1268.6,26324.4,0
20000,1,2,2,23,1,16910.4,640,16909.4,1
190000,1,2,2,34,0.8,135601.2,6423.6,135600.4,1
60000,2,2,1,33,0,31274.6,1067.2,31274.6,0
80000,1,1,2,35,-1,4382,6775,4383,0
150000,2,2,2,27,0,74056.6,2019.2,74056.6,0
210000,2,1,2,31,-1.8,3167.4,3338,3169.2,0
140000,2,2,3,41,0,19894.2,2239.6,19894.2,1
60000,2,1,2,28,0.2,8430.2,457,8430,0
50000,1,1,2,39,0,45074,2160,45074,0
50000,2,2,2,27,0,27967,1370,27967,0
180000,2,1,2,32,0.2,2926.8,1128.4,2926.6,0
30000,2,1,2,40,0.8,106.8,107,106,0
20000,2,2,2,40,0,15977.8,1183.6,15977.8,0
250000,2,2,1,75,-0.8,12524.6,2108.6,12525.4,0
100000,2,2,2,27,0,32718.8,1652,32718.8,0
330000,1,1,2,25,0.4,46129.4,2532.8,46129,0
50000,1,3,1,46,0,20077.4,1005.4,20077.4,0
50000,2,2,2,26,1,42172.8,1411.8,42171.8,0
30000,1,2,2,28,0,27032,1611.2,27032,0
140000,2,2,2,26,0,104922.2,4347.4,104922.2,1
400000,2,2,2,29,-0.8,6308.8,2792.6,6309.6,0
50000,1,2,1,25,0,29002.8,1191.2,29002.8,0
140000,2,2,1,48,-0.8,1146.8,5230.8,1147.6,0
100000,2,3,1,43,-1.2,12434,0,12435.2,0
50000,1,2,2,29,0,34778.4,2038.8,34778.4,0
160000,2,1,1,38,-0.4,10125,8445.2,10125.4,0
80000,2,1,2,37,-1,3636.4,4991.4,3637.4,0
150000,2,2,1,25,-1.2,1357.6,189.6,1358.8,0
10000,1,3,2,23,0,8545,751.4,8545,0
130000,2,3,2,49,0,66056.2,1997.2,66056.2,1
40000,2,1,2,48,0,34460.4,1540,34460.4,0
50000,1,2,2,27,1.4,14220.6,1048.2,14219.2,1
100000,1,3,2,32,0,32416.6,1534.2,32416.6,0
120000,1,1,1,34,0,882.8,270,882.8,0
260000,2,1,2,58,-1.4,0,0,1.4,1
200000,2,2,2,33,0,13793.2,1704.4,13793.2,0
360000,2,2,2,28,-2,0,0,2,1
70000,2,2,2,36,0,50133.6,5249.4,50133.6,0
460000,1,1,1,40,-0.4,1100.8,5585.4,1101.2,1
50000,2,1,2,26,-1,484,316,485,0
50000,1,3,1,33,0,38417.6,1261.4,38417.6,0
250000,2,2,1,31,0,100542.4,4500,100542.4,0
30000,2,1,2,27,-0.2,1289.6,632.8,1289.8,0
180000,2,3,2,30,0,138001.4,4796.2,138001.4,0
100000,2,1,2,28,0,53383.4,3439.6,53383.4,0
230000,2,3,1,32,0,113812,4800,113812,0
210000,1,1,2,38,0.4,62484.2,2260.4,62483.8,0
100000,2,2,2,25,0.4,70454.6,2330.2,70454.2,1
240000,2,2,1,46,0,10357.2,1059,10357.2,0
280000,1,1,2,33,-1,668.8,489.2,669.8,1
50000,2,2,2,22,-1.4,0,0,1.4,1
30000,1,2,1,43,2.2,2081.2,400,2079,0
10000,1,2,2,27,0.4,9333.2,954,9332.8,1
130000,1,1,2,29,-1.4,0,0,1.4,0
120000,2,2,1,29,-1,1189,1243.8,1190,0
280000,2,1,1,36,0,48573.8,1943.6,48573.8,0
300000,1,1,2,34,-0.6,9039.4,6559.8,9040,1
100000,1,2,2,37,0,79667.6,2599.6,79667.6,0
50000,2,3,1,40,0,27968.6,1321.2,27968.6,0
20000,2,1,2,25,0.4,17187.4,1900,17187,1
200000,2,1,2,27,-0.6,2164.4,2009.4,2165,0
110000,2,2,2,26,-2,2492,2424.8,2494,0
500000,2,2,1,36,-1,9505.8,7410.4,9506.8,0
300000,2,2,1,27,-1,1043,1043,1044,0
30000,1,3,1,55,2.4,11669.8,1480,11667.4,1
60000,2,1,2,27,-1,10835.2,9422.2,10836.2,0
400000,2,2,1,38,-0.6,3815.2,2013.6,3815.8,0
180000,2,2,1,34,0,138964.2,5380,138964.2,0
20000,1,1,2,40,0.4,12941.4,2120,12941,0
200000,2,3,1,49,1,54612.8,2657.2,54611.8,1
100000,1,1,2,27,0,37612.4,934.2,37612.4,0
60000,1,2,2,23,0,30437.2,1479.4,30437.2,1
110000,2,2,2,36,0,50033,2260,50033,0
260000,2,3,1,53,-1,308,405,309,0
50000,2,3,1,46,1.4,37726.6,1343.6,37725.2,0
180000,1,2,2,29,-1.4,-2,0,-0.6,0
110000,1,2,2,29,1,52675.4,1670.8,52674.4,1
50000,1,2,2,24,-0.2,4713,2003.8,4713.2,0
230000,2,2,1,28,-0.6,9830.8,2150,9831.4,1
360000,2,2,2,32,0,94934.2,9400,94934.2,0
220000,2,2,1,41,0.8,610,320,609.2,1
60000,2,2,1,34,2,27971.4,1764,27969.4,1
150000,1,1,1,40,2,102925.4,4300,102923.4,0
130000,2,2,2,40,0.4,10765.8,1340,10765.4,1
60000,2,1,2,28,0.6,12881.8,4739.2,12881.2,0
20000,1,1,2,27,0,19575.8,1025.4,19575.8,0
140000,2,2,2,31,-2,78,0,80,0
50000,2,2,1,31,0,40982,1912,40982,1
120000,2,1,2,34,-0.8,3231.2,3633.4,3232,0
240000,2,2,2,30,-2,73.6,55.2,75.6,0
50000,1,2,2,36,-0.2,3573.8,678,3574,0
200000,2,1,2,29,-0.4,10484.2,6011,10484.6,0
180000,2,1,2,26,0,125666,4536.4,125666,0
160000,2,1,2,29,-1,1635.6,2300,1636.6,0
100000,2,2,2,26,-0.6,3048.6,2489.8,3049.2,0
50000,2,2,2,29,0,46462.8,2200,46462.8,1
140000,2,2,2,31,0,139550,5900,139550,0
30000,2,2,2,26,0,19609.2,1012.8,19609.2,1
90000,1,1,2,26,-0.2,12696.2,5768.4,12696.4,0
380000,1,1,2,30,-1.4,0,0,1.4,1
80000,2,2,2,43,0,56747.6,2232.6,56747.6,0
50000,1,3,1,58,1.2,18072,1207,18070.8,0
180000,1,2,1,45,-0.2,29230.2,1456.2,29230.4,1
240000,2,2,2,26,0,124316,4775.6,124316,0
110000,2,4,2,24,0,80638.8,3060,80638.8,0
320000,2,2,2,30,0,72341.6,2633.8,72341.6,0
50000,1,2,2,32,1.8,44616.8,779,44615,0
110000,1,1,1,40,-0.6,856.4,499.6,857,1
230000,2,1,2,35,-2,540.2,510.6,542.2,0
330000,2,2,1,56,-0.8,1392.8,3135.4,1393.6,0
50000,2,2,1,61,0,38705.6,1842.4,38705.6,0
10000,1,2,2,24,1,2524,330,2523,0
300000,1,1,1,40,-1.4,0,0,1.4,0
20000,2,2,1,32,1,16469.2,514.8,16468.2,1
180000,1,2,1,36,-0.4,16707.6,0,16708,1
90000,2,1,2,34,0.8,41001.8,3728,41001,0
30000,1,3,3,54,0,23039.4,2400,23039.4,0
30000,1,3,1,58,0,20767,1211,20767,0
30000,1,2,1,43,0.6,21603.2,1297.6,21602.6,0
140000,2,1,2,28,-0.6,8255.8,6389.2,8256.4,0
210000,1,1,2,30,0,55515.4,3100,55515.4,0
50000,1,2,2,31,0,14292.8,2265.4,14292.8,1
130000,2,2,2,29,0,79404.8,2950,79404.8,0
50000,2,2,1,37,1.2,2796.4,620,2795.2,1
140000,1,3,1,36,0,89988.6,8880,89988.6,0
170000,2,2,2,28,0.2,4696.6,760.8,4696.4,1
80000,1,2,2,25,0,21450.2,2359.6,21450.2,0
80000,1,3,1,73,0.6,68233.2,3666,68232.6,1
350000,1,1,1,38,-1.4,0,0,1.4,0
280000,2,2,1,39,0,28327.6,8736.8,28327.6,1
310000,1,2,1,44,0,86362.8,3485,86362.8,0
140000,2,2,2,29,0,19456.8,2900,19456.8,0
360000,1,1,1,51,-1.4,12600,5000,12601.4,0
100000,1,1,2,38,0,42367.2,1028.2,42367.2,0
50000,2,2,2,22,-2,169.6,296,171.6,0
210000,2,2,1,30,0,98626.8,3640.4,98626.8,0
120000,2,2,2,25,2,117326.2,3455.8,117324.2,0
60000,2,3,3,42,0,31188.6,1577,31188.6,0
150000,1,1,2,41,-1,1255.2,963.8,1256.2,1
30000,1,2,1,48,0,27072.8,1339.6,27072.8,0
120000,2,2,1,25,-0.8,9573.8,1200,9574.6,0
60000,2,1,2,23,1.8,30532.8,1401.8,30531,1
200000,2,1,1,38,-1.2,81.4,103.4,82.6,0
230000,2,1,1,32,-0.8,1639.2,2322.2,1640,0
230000,2,2,2,27,0.6,11852.8,560,11852.2,1
50000,2,3,1,35,-1.4,5500,1000,5501.4,0
200000,2,1,2,31,-2,4625.2,3753.8,4627.2,0
50000,2,1,2,30,0,17140.8,1360,17140.8,0
50000,1,2,1,48,0,32173.8,2592.2,32173.8,0
260000,2,1,2,36,-1.4,0,0,1.4,1
30000,1,1,2,24,0.4,27458,1361.4,27457.6,0
230000,2,2,2,38,-1,3546.6,1499.2,3547.6,0
200000,1,2,1,38,1.2,101740,4100,101738.8,1
80000,2,2,1,32,-1.6,2252.4,0,2254,0
20000,2,3,2,49,1.6,12525.8,1824.6,12524.2,1
170000,2,1,2,31,-0.8,238.8,199,239.6,1
70000,1,1,2,27,0,52721.2,7128.2,52721.2,0
210000,2,2,2,33,0,139293.2,4300,139293.2,0
90000,2,2,2,25,0,77472.2,3100.2,77472.2,0
110000,2,1,2,29,0,50217.2,2211.4,50217.2,0
360000,1,3,1,55,-0.6,7339.2,5048.8,7339.8,0
60000,2,1,2,27,-0.6,2904.4,90,2905,0
110000,1,3,1,37,0,61469,2260,61469,0
50000,2,1,1,25,0,42866.6,1613.8,42866.6,0
80000,2,1,2,23,0,58397.6,9513.6,58397.6,1
50000,1,2,2,23,-0.8,3088,2846,3088.8,0
100000,1,1,2,32,0.4,88307.6,3607.4,88307.2,0
30000,2,1,2,26,-0.8,228.4,827.4,229.2,0
200000,2,1,2,27,0,121205,5934,121205,0
220000,1,2,2,34,0,29013.2,1160,29013.2,0
160000,2,1,2,28,0,103435.4,3360,103435.4,0
180000,2,1,1,53,-0.6,16429.6,6455.8,16430.2,0
200000,1,4,1,42,0,34069.4,1988.2,34069.4,0
140000,2,3,1,30,0.4,80477.2,4384.2,80476.8,0
380000,1,1,1,51,-1.4,0,0,1.4,1
200000,2,1,2,26,-1.2,32258.8,1075.8,32260,0
40000,1,2,2,39,0,23929,1812.4,23929,0
130000,1,3,2,39,1.8,72827.6,2400,72825.8,0
50000,1,1,2,32,-0.2,19841.2,1000,19841.4,0
70000,1,2,1,48,0,30037.4,2043.4,30037.4,1
80000,2,2,1,36,-1,4053.8,5293.8,4054.8,0
170000,2,3,3,56,-1,398.2,428.2,399.2,0
230000,1,2,2,32,0,24605.2,947.2,24605.2,0
90000,2,1,1,41,-1,3760.2,2673.8,3761.2,0
180000,1,2,1,34,-1,2036.2,1727.2,2037.2,0
60000,1,3,1,38,1,31408,1900,31407,0
120000,2,2,1,32,-1,2656,3010.4,2657,0
60000,2,2,2,29,0,28899.8,1280,28899.8,0
50000,1,1,2,44,0,33256,1373.8,33256,0
70000,2,2,1,37,0.4,65957.8,2447,65957.4,0
500000,2,1,1,38,-0.4,460.2,340.2,460.6,0
200000,1,1,2,31,-2,0,0,2,0
70000,2,2,2,28,-0.2,33112.4,2161.2,33112.6,0
90000,1,3,1,48,1.8,70498.4,2080,70496.6,0
100000,2,2,1,43,-1,1527.2,1541.4,1528.2,0
230000,2,1,1,42,-1,9128.2,9153.6,9129.2,0
320000,1,2,1,39,0,92180,4424.2,92180,0
220000,2,2,1,36,-0.8,725.6,646.4,726.4,1
260000,2,1,1,34,-1,7095.2,4428,7096.2,0
90000,2,2,2,32,-2,114.6,31.4,116.6,0
30000,2,2,1,43,2,24914.8,762,24912.8,0
260000,1,2,2,30,0.4,119773.2,4022.6,119772.8,0
170000,2,2,2,28,-0.8,9245.6,861.6,9246.4,0
80000,2,1,1,28,0,9697.2,640,9697.2,1
50000,1,1,1,41,-1,403.2,650,404.2,0
20000,1,2,2,23,0.4,20845.6,2072.2,20845.2,0
250000,2,1,1,49,-1.2,36,354.2,37.2,0
20000,1,1,1,38,0.8,18941.8,1417.8,18941,0
30000,2,2,1,38,0.4,22775,1400,22774.6,0
90000,2,2,1,35,1.8,26438.4,2100,26436.6,0
130000,2,1,1,33,0,21403.4,1000,21403.4,1
30000,1,6,1,53,-2,0,0,2,0
160000,1,1,2,35,-1,396,561,397,0
180000,2,2,2,28,0,38276.2,1625.6,38276.2,0
80000,2,2,1,30,0,14062,860,14062,0
120000,1,1,2,26,-1.2,2266,2089.2,2267.2,0
130000,1,2,1,31,-1,1224.8,972.6,1225.8,0
120000,2,2,2,35,-1,240,240,241,1
50000,1,2,2,23,2,31235.6,1460,31233.6,1
20000,2,2,2,23,0.4,18072.2,986.8,18071.8,0
70000,1,3,1,32,0,68766.4,2894,68766.4,0
50000,1,2,1,47,0,17909.8,2259.4,17909.8,0
10000,2,2,2,22,0.6,9857.2,664,9856.6,0
290000,2,1,1,34,0,101926.6,6400,101926.6,0
30000,2,1,1,31,0,18116.8,1204.4,18116.8,0
140000,2,2,1,42,0,86948.6,4433.4,86948.6,1
210000,2,1,2,32,0,70613.2,2920,70613.2,0
220000,2,2,2,27,-1,3441.2,3681,3442.2,0
20000,1,2,2,27,0.6,19192,840,19191.4,0
360000,1,1,2,26,-1.2,329,859.6,330.2,0
20000,2,2,2,21,0.2,10522.8,7302.2,10522.6,0
50000,1,2,2,23,0,21984.4,5507.2,21984.4,0
50000,1,2,3,30,0,40006.4,1259.6,40006.4,0
10000,1,2,2,46,1.2,6034,703,6032.8,1
100000,2,3,1,50,1.6,58824.2,2910,58822.6,1
50000,1,1,2,26,-2,2244.6,1903.8,2246.6,0
60000,1,2,2,25,-0.8,2237.6,2315.6,2238.4,0
120000,1,2,1,44,0,74917.4,2889.8,74917.4,0
50000,2,1,2,52,-0.6,1548.2,263.6,1548.8,0
110000,2,2,1,40,1.8,95064,3860,95062.2,0
200000,2,1,2,38,-1.4,123.4,97.6,124.8,0
150000,2,1,2,28,-1.4,0,63.6,1.4,0
30000,2,2,1,36,1.8,28165,640,28163.2,1
360000,2,1,1,34,-0.4,11268,7167.8,11268.4,0
390000,2,1,2,31,0,46464.6,3600,46464.6,0
220000,2,1,1,41,-1.4,-65,0,-63.6,1
160000,2,2,2,25,-2,0,0,2,0
230000,2,1,2,28,-0.4,8583.4,4784.6,8583.8,0
120000,1,1,2,27,0,43036.2,4804.8,43036.2,0
100000,1,3,1,52,1.2,6013.6,1100,6012.4,1
190000,2,1,2,41,-1,14311.6,8770.8,14312.6,1
50000,1,1,1,56,0,37842.8,1720,37842.8,1
240000,2,1,1,42,-1,1274,1274,1275,0
40000,2,2,2,24,-2,37252.6,1681.6,37254.6,0
160000,2,1,1,33,-2,2590,1585.8,2592,0
110000,2,2,2,32,1.2,75962.4,5260,75961.2,0
20000,1,2,2,29,-0.8,7125.4,411,7126.2,0
210000,2,3,1,53,0,59476.2,2995,59476.2,0
270000,1,1,2,34,-0.8,8520,8348.6,8520.8,0
360000,2,2,2,52,-2,938,836.8,940,0
60000,2,2,1,42,-1,1202.2,1804,1203.2,0
360000,1,2,2,38,-0.2,82305.8,6201.8,82306,0
390000,2,1,2,45,1.4,1377,1974.2,1375.6,0
250000,2,3,2,35,-2,5310.2,6108.8,5312.2,0
90000,2,1,2,24,0,16821,2424,16821,1
360000,1,1,2,28,-1,6337.8,6410.6,6338.8,0
50000,1,3,2,26,0,27149.2,1200.4,27149.2,0
270000,2,1,1,40,-0.8,4891.4,200,4892.2,0
200000,2,1,2,29,-0.6,18715.6,7594.2,18716.2,0
50000,2,2,2,23,0,35144.4,1699.2,35144.4,0
350000,1,1,2,33,-1.4,4262.4,3016.8,4263.8,0
160000,2,2,2,60,-1,2607.8,2086.2,2608.8,1
80000,2,3,1,49,-1,3704.2,4551,3705.2,0
80000,1,1,2,31,-0.4,10229,6025.6,10229.4,0
50000,1,2,2,36,0,6389,880,6389,0
30000,1,2,1,35,-1.2,4924.6,3376.4,4925.8,0
30000,1,2,2,28,-1,156,156,157,1
90000,1,2,2,33,-0.2,31457.8,7990,31458,0
80000,2,3,2,53,0,71248,2776.2,71248,0
50000,1,2,2,42,0,49005.4,1440,49005.4,0
20000,2,1,2,25,0,16287.4,1020,16287.4,0
220000,1,1,1,43,-1.4,0,0,1.4,1
210000,1,3,2,25,-0.4,13083.8,7391.6,13084.2,1
130000,2,2,2,29,0,97515,3329.2,97515,0
160000,1,1,2,34,0,84963.2,3569.8,84963.2,0
50000,1,1,1,35,0,13610,1409.6,13610,0
80000,1,2,1,32,0,44685.6,2603,44685.6,0
110000,1,3,2,46,0,58875.8,2485.6,58875.8,0
